uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_stuhr_bbox
2230854,6,0.0,1.0,0.0,0.0,0.8333333333333334,0.8333333333333334,2,0.006226216834500848,7.6662996,51.87713445,9.9923422,53.389061350000006,6.645796823204687E10,4.137817205930928E8
73317,2,0.0,1.0,0.0,0.0,0.5,1.0,1,1.0,8.7859724,53.0520199,8.7859725,53.05202,2.2083080019439814E-4,4.137817205930928E8
88164,8,0.0,1.0,0.0,0.0,0.5,1.0,2,0.03309146664733671,8.21257755,52.91292095,9.0681438,53.43465705,8.39811144976824E9,4.137817205930928E8
1219701,50,0.62,0.16,0.22,0.004901960784313725,0.98,1.0,1,1.0,8.734771924999999,53.0494085,8.735114325,53.049611699999986,1286.3315949655178,4.137817205930928E8
2437198,3,1.0,0.0,0.0,0.0,0.33333333333333337,1.0,1,0.44382310452239343,8.7400536,53.040004,8.8923954,53.0833624,7.446891713992828E7,4.137817205930928E8
149097,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,-125.1572169,-47.0772501,165.438923,78.5122251,0.0,4.137817205930928E8
1209983,28,0.6785714285714286,0.32142857142857145,0.0,0.004901960784313725,0.8928571428571429,1.0,1,0.9541936064274084,8.70752005,53.0298871,8.73203635,53.058365550000005,1.61232038258834E7,4.137817205930928E8
6436882,3,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.0,2,1.0,8.7965023,53.052735600000005,8.8026257,53.0545154,126030.47908216753,4.137817205930928E8
581242,2,0.0,1.0,0.0,0.0,0.0,1.0,2,0.164375029818995,8.71016535,53.0408132,8.8693203,53.1159097,1.9841957528144848E8,4.137817205930928E8
155761,75,0.0,1.0,0.0,0.03431372549019608,0.8666666666666667,1.0,8,0.08748635319369683,8.490807733333334,52.996326555555555,8.730569699999998,53.14533253333334,6.76374227425582E8,4.137817205930928E8
2675,87,0.11494252873563218,0.7471264367816092,0.13793103448275862,0.19117647058823528,0.896551724137931,0.9885057471264368,8,1.0,8.782033545454546,53.027541236363646,8.817244945454545,53.04899439999999,1.4074928611473827E7,4.137817205930928E8
92274,3,0.0,1.0,0.0,0.0,0.33333333333333337,1.0,2,4.983530885221218E-4,6.6886113,48.3010776,13.18261735,54.57924145,8.302982967762327E11,4.137817205930928E8
3923016,1,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,8.785949,53.0519916,8.785949,53.0519916,0.0,4.137817205930928E8
108149,14,0.0,1.0,0.0,0.0196078431372549,0.8571428571428572,1.0,3,1.0,8.7740894,53.04489435714286,8.792641314285712,53.06134215714286,6493675.564876208,4.137817205930928E8
1778799,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,-180.0,-55.9482923,180.0,74.9295848,0.0,4.137817205930928E8
141943,5,0.0,1.0,0.0,0.04411764705882353,0.6,1.0,3,1.0,8.7112248,53.03975450000001,8.7207808,53.04308816666668,439024.28899972123,4.137817205930928E8
408688,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0011124793010372082,6.4382274,50.2493323,11.4804095,54.0279853,3.719455456000915E11,4.137817205930928E8
223348,6,0.0,1.0,0.0,0.0,0.6666666666666667,1.0,2,0.8102524952669732,8.797186366666669,53.0512871,8.8204328,53.06651933333334,6788875.3793418,4.137817205930928E8
339581,7,0.0,1.0,0.0,0.0,0.8571428571428572,1.0,1,0.0,-59.602355450000005,36.9473059,80.54962665,57.76562654999999,1.2207025681728395E13,4.137817205930928E8
2680,2,0.0,0.5,0.5,0.0,0.5,1.0,2,2.050293563699738E-4,5.2880491,46.17685505,17.0875832,55.668534550000004,2.0181584136001824E12,4.137817205930928E8
51324,11,0.0,1.0,0.0,0.004901960784313725,1.0,1.0,1,0.0030771344320946344,8.6420675,52.3671296,12.9037048,53.7726143,6.235722045997762E10,4.137817205930928E8
65148,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0011797888567155787,5.8347815,50.5129485,11.204482,53.9809674,3.507252320936665E11,4.137817205930928E8
177791,22,0.2727272727272727,0.7272727272727273,0.0,0.029411764705882353,0.7727272727272727,0.9090909090909091,1,1.0,8.7922093,53.05010442500001,8.800974400000001,53.055492475,883498.0298053036,4.137817205930928E8
6269,2369,0.0,0.9924018573237653,0.007598142676234698,0.1323529411764706,0.9915576192486281,0.9966230476994512,1,0.23029830472690616,8.6429522,52.8353657,8.952143,53.1092131,1.7967206536051846E9,4.137817205930928E8
30845,1,0.0,0.0,1.0,0.0,1.0,1.0,1,4.3068226261027494E-4,5.7046086,48.1135919,12.6719203,54.8017066,9.607586764433912E11,4.137817205930928E8
6270,12,0.25,0.6666666666666666,0.08333333333333333,0.014705882352941176,0.5833333333333333,1.0,3,0.003847233926184138,7.456637766666667,51.39110756666667,9.913789333333332,53.500152033333336,1.0755304422143636E11,4.137817205930928E8
461945,17,0.0,0.5294117647058824,0.47058823529411764,0.03431372549019608,0.9411764705882353,1.0,1,0.004380798302915109,8.6966912,52.7801764,11.2923628,54.5504407,8.680605545586813E10,4.137817205930928E8
6797848,1,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,8.7419595,53.0508849,8.742371,53.0510374,902.4160768237734,4.137817205930928E8
279687,10,0.6,0.4,0.0,0.0,0.9,0.9,1,1.0,8.788552500000002,53.05070375,8.79549745,53.0555236,655897.0425790299,4.137817205930928E8
3021485,18,0.3333333333333333,0.6666666666666666,0.0,0.014705882352941176,0.9444444444444444,1.0,3,1.0,8.717351800000001,53.04273106666667,8.727717966666665,53.05074186666667,1692553.0047640789,4.137817205930928E8
