uid;total_contributions;p_creation;p_modification;p_delete;p_is_used;p_is_edited;p_is_deleted;nbWeeks;focalisation
110263;4;0.0;0.5;0.5;0.031914893617021274;0.75;1.0;1;0.0
44217;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
26299;410;0.0;0.13902439024390245;0.8609756097560975;0.06382978723404255;0.9902439024390244;0.9951219512195122;1;1.0
224440;37;0.0;0.05405405405405406;0.9459459459459459;0.1702127659574468;0.972972972972973;1.0;5;0.0
128186;15;0.0;1.0;0.0;0.0;0.9333333333333333;1.0;8;0.0
219843;7;0.0;1.0;0.0;0.0;0.5714285714285714;1.0;3;0.0
3298034;2;0.5;0.5;0.0;0.0;1.0;1.0;1;1.0
1657041;1007;0.6226415094339622;0.3356504468718967;0.041708043694141016;0.3617021276595745;0.9900695134061569;0.9990069513406157;9;0.12182082230740178
517839;27;0.2222222222222222;0.7407407407407407;0.037037037037037035;0.010638297872340425;0.7407407407407407;0.962962962962963;2;9.771213032240024E-5
745664;103;0.8058252427184466;0.1941747572815534;0.0;0.06382978723404255;0.941747572815534;1.0;1;0.47293442343140557
1738964;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
211154;170;0.18823529411764706;0.34705882352941175;0.4647058823529412;0.18085106382978725;0.9470588235294117;1.0;2;0.0
58066;11;1.0;0.0;0.0;0.0;1.0;0.9090909090909091;1;0.0
722137;87;0.0;0.9885057471264368;0.011494252873563218;0.30851063829787234;0.8735632183908046;0.9770114942528736;1;0.7982843135545086
184023;11;0.8181818181818182;0.18181818181818182;0.0;0.0;0.6363636363636364;0.9090909090909091;1;0.0
4181226;30;0.7333333333333333;0.26666666666666666;0.0;0.02127659574468085;0.8666666666666667;0.9333333333333333;1;0.9665240094362804
1380557;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
2151162;202;0.6584158415841584;0.27722772277227725;0.06435643564356436;0.0851063829787234;0.9752475247524752;1.0;7;0.0
76002;3;0.0;0.3333333333333333;0.6666666666666666;0.031914893617021274;1.0;1.0;2;1.0
45284;6;1.0;0.0;0.0;0.0;0.16666666666666663;1.0;1;0.0
322785;13;0.07692307692307693;0.38461538461538464;0.5384615384615384;0.11702127659574468;0.7692307692307692;1.0;6;0.07236746515457258
2367188;5;1.0;0.0;0.0;0.0;1.0;1.0;1;0.0
2179792;7;0.2857142857142857;0.7142857142857143;0.0;0.0;1.0;0.8571428571428572;3;1.0
107257;14;0.0;0.9285714285714286;0.07142857142857142;0.0;0.5714285714285714;1.0;4;0.0
34555;27;0.4074074074074074;0.5925925925925926;0.0;0.0;0.9259259259259259;1.0;1;0.171805939699065
138494;228;0.9517543859649122;0.04824561403508772;0.0;0.1276595744680851;0.9649122807017544;0.9868421052631579;1;0.42874485751182523
1759463;82;0.0;0.975609756097561;0.024390243902439025;0.0425531914893617;1.0;1.0;1;0.0
118014;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
585483;313;0.6421725239616614;0.3546325878594249;0.003194888178913738;0.13829787234042554;0.9648562300319489;0.9968051118210862;3;1.0
2966318;8;1.0;0.0;0.0;0.0;1.0;1.0;1;0.0
118021;4;0.0;0.25;0.75;0.0;1.0;1.0;2;0.0
2748195;3;0.3333333333333333;0.6666666666666666;0.0;0.0;1.0;1.0;1;0.0
183561;28;0.0;1.0;0.0;0.010638297872340425;0.8214285714285714;0.8928571428571429;2;0.0
39691;14;0.07142857142857142;0.7142857142857143;0.21428571428571427;0.14893617021276595;0.9285714285714286;1.0;1;0.0
4363;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
5631320;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.1480902667453363
225036;31;0.06451612903225806;0.5483870967741935;0.3870967741935484;0.05319148936170213;0.935483870967742;1.0;3;0.0
78608;2;0.0;1.0;0.0;0.0;0.5;0.5;1;0.0
154902;13;0.3076923076923077;0.5384615384615384;0.15384615384615385;0.02127659574468085;1.0;1.0;1;0.0
2517308;87;0.3448275862068966;0.5977011494252874;0.05747126436781609;0.09574468085106383;0.9540229885057472;0.9770114942528736;1;0.0
1308;1;1.0;0.0;0.0;0.0;1.0;0.0;1;0.0
6680389;4;0.5;0.0;0.5;0.0;1.0;1.0;1;0.0
195875;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
419616;1;1.0;0.0;0.0;0.0;1.0;0.0;1;0.0
5926;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
