uid,total_contributions,p_creation,p_modification,p_delete,p_is_used,p_is_edited,p_is_deleted,nbWeeks,focalisation,lonMin,latMin,lonMax,latMax,area_mean_chgst,area_aubervilliers_bbox
39964,1,0.0,1.0,0.0,0.05319148936170213,1.0,1.0,1,0.0,-4.7064538,48.5476049,-4.5526283,48.6292758,6.565575099216694E7,1.2221273019394621E8
1717765,5,0.0,0.8,0.2,0.1595744680851064,0.6,1.0,1,0.30817136818240204,-4.6012304,48.5591448,-4.5185561,48.5935305,3.5223498725200176E7,1.2221273019394621E8
99872,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.8537138651443639,-4.5201349,48.5880973,-4.5070458,48.6087175,5593864.684222441,1.2221273019394621E8
5123180,1,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,-4.5344537,47.8451901,-3.5163863,48.605121,2.7663110066936173E9,1.2221273019394621E8
563758,11,0.09090909090909091,0.9090909090909091,0.0,0.0,0.8181818181818181,1.0,2,0.0,-4.59017465,48.568832500000006,-4.569424099999999,48.57684865,2463896.9519209336,1.2221273019394621E8
5509234,2,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0,-34.36936935,-23.28048325,59.7302415,54.48873605,1.2398585142306055E14,1.2221273019394621E8
70696,2,0.0,1.0,0.0,0.010638297872340425,0.0,1.0,2,0.0,-155.80476994999998,-53.7974825,176.31921499999999,67.3038395,0.0,1.2221273019394621E8
42027,199,0.9346733668341709,0.06030150753768844,0.005025125628140704,0.07446808510638298,0.9346733668341709,0.9949748743718593,1,0.0,-4.5783627,48.5069149,-4.4093176,48.585989600000005,1.1697919456367737E8,1.2221273019394621E8
181804,1,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,-3.7826487,48.6829429,-3.6719468,48.7096051,9.86832345846064E7,1.2221273019394621E8
590907,2,0.0,1.0,0.0,0.010638297872340425,0.5,1.0,1,0.0,-21.670861,35.5542954,34.840236700000005,67.195932,8.118555961211269E12,1.2221273019394621E8
1347117,500,0.416,0.502,0.082,0.35106382978723405,0.958,0.988,16,1.0,-4.5523349,48.575604639999995,-4.5079443,48.59049475999999,1.3090710827614658E7,1.2221273019394621E8
143932,1,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,-4.8802542,42.2584912,10.7554501,50.9070684,2.8793278094542255E11,1.2221273019394621E8
179778,53,0.4528301886792453,0.5094339622641509,0.03773584905660377,0.11702127659574468,0.8679245283018868,0.9811320754716981,4,0.0,-4.671454275,46.88175914999999,-1.510729325,48.768721225,8.737119470233107E9,1.2221273019394621E8
474183,2,0.0,1.0,0.0,0.0425531914893617,0.5,1.0,1,0.05869845604741375,-4.5898715,48.5694356,-4.5525457,48.5763948,1.2574518379237339E7,1.2221273019394621E8
46145,37,0.8378378378378378,0.13513513513513514,0.02702702702702703,0.010638297872340425,0.8648648648648649,0.972972972972973,3,0.0,-4.67231116,47.99056192,1.8865432000000002,50.717823499999994,2.1342863503797656E11,1.2221273019394621E8
2133601,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.33333333333333337,1.0,1,1.0,-4.540608833333334,48.55345106666667,-4.5376744,48.55458423333334,49184.231174374996,1.2221273019394621E8
1438301,91,0.24175824175824176,0.7142857142857143,0.04395604395604396,0.20212765957446807,0.967032967032967,0.989010989010989,1,0.0,-4.6608587,48.5519397,-4.5875439,48.5769297,3.52587541285928E7,1.2221273019394621E8
24657,5,1.0,0.0,0.0,0.0,0.4,1.0,1,1.0,-4.5204586,48.5925032,-4.5196961,48.5930473,954.3079916699647,1.2221273019394621E8
2394737,9,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,1.0,2,1.0,-4.52072965,48.589376349999995,-4.514826749999999,48.5905914,304377.959874532,1.2221273019394621E8
1429581,8,0.0,1.0,0.0,0.0,0.75,1.0,3,0.0,-5.319695433333333,47.574668366666664,0.24960593333333314,49.72777870000001,1.680983070963762E11,1.2221273019394621E8
389208,1,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,-4.5102739,48.5720782,-4.5102739,48.5720782,0.0,1.2221273019394621E8
