"source";"target";"weight"
"45556";"124057";"1.0"
"124057";"57756";"1.0"
"39441";"57756";"1.0"
"323997";"45556";"1.0"
"323997";"42540";"1.0"
"30086";"42540";"10.0"
"30086";"45556";"25.0"
"45556";"68141";"41.0"
"45556";"192292";"2.0"
"45556";"230738";"1.0"
"192292";"230738";"1.0"
"13314";"155872";"5.0"
"155872";"13314";"24.0"
"715482";"61116";"27.0"
"45556";"715482";"12.0"
"715482";"722248";"1.0"
"715482";"4763";"8.0"
"4763";"45556";"1.0"
"45556";"70807";"3.0"
"45556";"7582";"1.0"
"161047";"45556";"2.0"
"715482";"161730";"3.0"
"161730";"147322";"1.0"
"161730";"115994";"1.0"
"147322";"115994";"9.0"
"53670";"149976";"11.0"
"129629";"42540";"1.0"
"722248";"65259";"1.0"
"722248";"61116";"1.0"
"722248";"241071";"1.0"
"65259";"61116";"1.0"
"65259";"241071";"1.0"
"61116";"241071";"1.0"
"147322";"188381";"1.0"
"39441";"149976";"2.0"
"45556";"27305";"9.0"
"151951";"45556";"3.0"
"715482";"601334";"27.0"
"45556";"290791";"2.0"
"45556";"477474";"1.0"
"290791";"477474";"2.0"
"290791";"70807";"1.0"
"477474";"70807";"1.0"
"477474";"45556";"1.0"
"70807";"45556";"2.0"
"715482";"290791";"10.0"
"715482";"323997";"1.0"
"290791";"323997";"1.0"
"45556";"477173";"7.0"
"477173";"45556";"14.0"
"477173";"161047";"2.0"
"45556";"161047";"28.0"
"48089";"161047";"1.0"
"45556";"137308";"1.0"
"715482";"4584";"25.0"
"715482";"42540";"37.0"
"42540";"45556";"12.0"
"580580";"4584";"1.0"
"45556";"18594";"1.0"
"18594";"241071";"1.0"
"4584";"31342";"1.0"
"31342";"57756";"1.0"
"462056";"45556";"6.0"
"45556";"282203";"8.0"
"42540";"68141";"4.0"
"715482";"874902";"1.0"
"45556";"53286";"12.0"
"145342";"70807";"2.0"
"145342";"9513";"2.0"
"70807";"9513";"2.0"
"57756";"53670";"1.0"
"429905";"59658";"3.0"
"429905";"35064";"1.0"
"429905";"53670";"3.0"
"35064";"59658";"1.0"
"35064";"53670";"1.0"
"59658";"53670";"3.0"
"27305";"81542";"13.0"
"460346";"45556";"7.0"
"39441";"45556";"12.0"
"39441";"4584";"41.0"
"39441";"81542";"1.0"
"4584";"177902";"2.0"
"175634";"4584";"2.0"
"4584";"39441";"13.0"
"62392";"241071";"1.0"
"45556";"104858";"7.0"
"45556";"89057";"1.0"
"39441";"104858";"1.0"
"39441";"89057";"1.0"
"104858";"89057";"1.0"
"42540";"104858";"3.0"
"42540";"175634";"1.0"
"175634";"104858";"1.0"
"149976";"41551";"1.0"
"45556";"17790";"39.0"
"759439";"147322";"12.0"
"715482";"759439";"7.0"
"45556";"247114";"1.0"
"429905";"45556";"8.0"
"290791";"241071";"13.0"
"715482";"241071";"17.0"
"241071";"290791";"1.0"
"14113";"45556";"4.0"
"192292";"31342";"8.0"
"429905";"192292";"3.0"
"429905";"110036";"1.0"
"192292";"45556";"17.0"
"192292";"110036";"3.0"
"201470";"477474";"2.0"
"429905";"142054";"1.0"
"429905";"42234";"1.0"
"142054";"45556";"1.0"
"142054";"42234";"1.0"
"142054";"53670";"1.0"
"460346";"30086";"1.0"
"460346";"39441";"1.0"
"45556";"30086";"9.0"
"30086";"39441";"22.0"
"61116";"4584";"7.0"
"39441";"161047";"20.0"
"45556";"43049";"1.0"
"4584";"201470";"1.0"
"4584";"290791";"1.0"
"4584";"477474";"1.0"
"201470";"290791";"1.0"
"45556";"460346";"1.0"
"460346";"149976";"2.0"
"460346";"31342";"1.0"
"149976";"53670";"11.0"
"45556";"49635";"7.0"
"175634";"49635";"3.0"
"61116";"147322";"10.0"
"201470";"53670";"1.0"
"4763";"49635";"1.0"
"601334";"45556";"27.0"
"601334";"17790";"26.0"
"161730";"39441";"3.0"
"38177";"39367";"1.0"
"38177";"27305";"1.0"
"38177";"45556";"1.0"
"39367";"27305";"1.0"
"39367";"45556";"1.0"
"161730";"30086";"5.0"
"963391";"445253";"2.0"
"963391";"45556";"1.0"
"151951";"131026";"1.0"
"39441";"131026";"1.0"
"45556";"52612";"1.0"
"30086";"458767";"1.0"
"192292";"155872";"3.0"
"45556";"155872";"10.0"
"4584";"282203";"3.0"
"715482";"458767";"1.0"
"290791";"458767";"1.0"
"2786";"416518";"2.0"
"2786";"526767";"2.0"
"526767";"416518";"1.0"
"293885";"661329";"1.0"
"45556";"416518";"1.0"
"416518";"110036";"1.0"
"45556";"300667";"1.0"
"290791";"96180";"1.0"
"45556";"96180";"1.0"
"96180";"45556";"1.0"
"161730";"35685";"1.0"
"30086";"477173";"2.0"
"53670";"4584";"2.0"
"45556";"445253";"5.0"
"61116";"45556";"6.0"
"39441";"31342";"2.0"
"31342";"42540";"3.0"
"13314";"164325";"2.0"
"445253";"39441";"27.0"
"290791";"147322";"1.0"
"4584";"147322";"1.0"
"61116";"290791";"1.0"
"35685";"39441";"2.0"
"35685";"31342";"5.0"
"4584";"580508";"3.0"
"4584";"45556";"3.0"
"580508";"45556";"3.0"
"580508";"4584";"2.0"
"759439";"115994";"11.0"
"53670";"39441";"1.0"
"45556";"161730";"6.0"
"201470";"45556";"3.0"
"45556";"62392";"2.0"
"131026";"62392";"1.0"
