"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"104779";"ABRob";"24";"23";"1";"0";"24";"24";"0";"0";"null";"null";"0.9583333333333334";"0.041666666666666664";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"61005";"nkbre";"283";"178";"105";"102";"181";"191";"92";"13";"null";"null";"0.6289752650176679";"0.3710247349823322";"0.36042402826855124";"0.6395759717314488";"0.6749116607773852";"0.3250883392226148";"0.045936395759717315";"23"
"145231";"woodpeck_repair";"2";"0";"2";"1";"1";"0";"2";"2";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.0";"1.0";"1.0";"1"
"604999";"White_Rabbit";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"161619";"FvGordon";"34";"29";"5";"13";"21";"3";"31";"15";"null";"null";"0.8529411764705882";"0.14705882352941177";"0.38235294117647056";"0.6176470588235294";"0.08823529411764706";"0.9117647058823529";"0.4411764705882353";"9"
"566618";"eohhc";"8";"0";"8";"7";"1";"8";"0";"0";"null";"null";"0.0";"1.0";"0.875";"0.125";"1.0";"0.0";"0.0";"1"
"76114";"Letus";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"131670";"Ana Luisa";"1";"0";"1";"0";"1";"0";"1";"1";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1"
"39256";"OliverG";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"715371";"715371";"2991";"1064";"1927";"2184";"807";"2459";"532";"70";"null";"null";"0.3557338682714811";"0.6442661317285189";"0.7301905717151455";"0.26980942828485455";"0.8221330658642595";"0.17786693413574056";"0.02340354396522902";"32"
"130915";"Matze01";"141";"110";"31";"140";"1";"70";"71";"1";"null";"null";"0.7801418439716312";"0.2198581560283688";"0.9929078014184397";"0.0070921985815602835";"0.49645390070921985";"0.5035460992907801";"0.0070921985815602835";"8"
"109925";"WanMil";"84";"0";"84";"83";"1";"0";"84";"0";"null";"null";"0.0";"1.0";"0.9880952380952381";"0.011904761904761904";"0.0";"1.0";"0.0";"2"
"73317";"kanu_guenni";"2";"1";"1";"1";"1";"0";"2";"0";"null";"null";"0.5";"0.5";"0.5";"0.5";"0.0";"1.0";"0.0";"1"
"43882";"katze_sonne";"4";"3";"1";"3";"1";"0";"4";"0";"null";"null";"0.75";"0.25";"0.75";"0.25";"0.0";"1.0";"0.0";"1"
"47978";"Christoph Lotz";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"149865";"manfredbremen";"201";"120";"81";"99";"102";"133";"68";"2";"null";"null";"0.5970149253731343";"0.40298507462686567";"0.4925373134328358";"0.5074626865671642";"0.6616915422885572";"0.3383084577114428";"0.009950248756218905";"44"
"188270";"Gamba";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"2675";"Eckhart Wörner";"16";"5";"11";"10";"6";"2";"14";"2";"null";"null";"0.3125";"0.6875";"0.625";"0.375";"0.125";"0.875";"0.125";"2"
"155761";"Dusche";"35";"0";"35";"34";"1";"0";"35";"0";"null";"null";"0.0";"1.0";"0.9714285714285714";"0.02857142857142857";"0.0";"1.0";"0.0";"4"
"88946";"juan_isaza";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"49524";"comdoxx";"22";"17";"5";"21";"1";"14";"8";"0";"null";"null";"0.7727272727272727";"0.22727272727272727";"0.9545454545454546";"0.045454545454545456";"0.6363636363636364";"0.36363636363636365";"0.0";"2"
"164214";"Notch";"3";"1";"2";"2";"1";"3";"0";"0";"null";"null";"0.3333333333333333";"0.6666666666666666";"0.6666666666666666";"0.3333333333333333";"1.0";"0.0";"0.0";"2"
"242551";"hmpfgnrrr";"16";"0";"16";"0";"16";"16";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"141943";"Jonathan Haas";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"149876";"dbusse";"1";"0";"1";"0";"1";"0";"1";"1";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1"
"118134";"scai";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"4473";"EtricCeline";"1187";"831";"356";"865";"322";"1071";"116";"4";"null";"null";"0.7000842459983151";"0.2999157540016849";"0.7287278854254423";"0.2712721145745577";"0.9022746419545071";"0.09772535804549284";"0.003369839932603201";"17"
"290680";"wheelmap_visitor";"45";"6";"39";"15";"30";"0";"45";"0";"null";"null";"0.13333333333333333";"0.8666666666666667";"0.3333333333333333";"0.6666666666666666";"0.0";"1.0";"0.0";"11"
"65148";"tixuwuoz";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"580469";"Hundehalter";"18";"15";"3";"17";"1";"3";"15";"2";"null";"null";"0.8333333333333334";"0.16666666666666666";"0.9444444444444444";"0.05555555555555555";"0.16666666666666666";"0.8333333333333334";"0.1111111111111111";"2"
"177791";"hbarne";"16";"0";"16";"15";"1";"5";"11";"0";"null";"null";"0.0";"1.0";"0.9375";"0.0625";"0.3125";"0.6875";"0.0";"3"
"461945";"poppei82";"12";"11";"1";"11";"1";"0";"12";"7";"null";"null";"0.9166666666666666";"0.08333333333333333";"0.9166666666666666";"0.08333333333333333";"0.0";"1.0";"0.5833333333333334";"1"
"6270";"mikes";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"64894";"delfin_6";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"477062";"phase4_only";"28";"23";"5";"27";"1";"9";"19";"0";"null";"null";"0.8214285714285714";"0.17857142857142858";"0.9642857142857143";"0.03571428571428571";"0.32142857142857145";"0.6785714285714286";"0.0";"5"
"51075";"DB1BMN";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"279687";"Saedelaere";"8";"0";"8";"0";"8";"4";"4";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.5";"0.5";"0.0";"2"
"45445";"UScha";"12527";"1273";"11254";"7899";"4628";"3446";"9081";"53";"null";"null";"0.1016204997206035";"0.8983795002793965";"0.6305579947313802";"0.36944200526861976";"0.2750858146403768";"0.7249141853596233";"0.004230861339506666";"509"
"16008";"Tric";"2";"0";"2";"1";"1";"1";"1";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.5";"0.5";"0.0";"2"
"34953";"Langlaeufer";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"293774";"Oli-Wan";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"42123";"Ropino";"13";"12";"1";"12";"1";"0";"13";"0";"null";"null";"0.9230769230769231";"0.07692307692307693";"0.9230769230769231";"0.07692307692307693";"0.0";"1.0";"0.0";"3"
"201359";"wambacher";"221";"2";"219";"218";"3";"205";"16";"5";"null";"null";"0.00904977375565611";"0.9909502262443439";"0.9864253393665159";"0.013574660633484163";"0.9276018099547512";"0.07239819004524888";"0.02262443438914027";"3"
"601223";"zehess";"39";"0";"39";"38";"1";"10";"29";"1";"null";"null";"0.0";"1.0";"0.9743589743589743";"0.02564102564102564";"0.2564102564102564";"0.7435897435897436";"0.02564102564102564";"6"
"63375";"Divjo";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"13712";"TimG";"8";"4";"4";"5";"3";"0";"8";"5";"null";"null";"0.5";"0.5";"0.625";"0.375";"0.0";"1.0";"0.625";"4"
"416407";"JonathanHaas";"8";"7";"1";"7";"1";"0";"8";"0";"null";"null";"0.875";"0.125";"0.875";"0.125";"0.0";"1.0";"0.0";"2"
"324245";"Kerridge";"17";"7";"10";"16";"1";"12";"5";"0";"null";"null";"0.4117647058823529";"0.5882352941176471";"0.9411764705882353";"0.058823529411764705";"0.7058823529411765";"0.29411764705882354";"0.0";"4"
"12945";"McBlaze";"18";"17";"1";"17";"1";"18";"0";"0";"null";"null";"0.9444444444444444";"0.05555555555555555";"0.9444444444444444";"0.05555555555555555";"1.0";"0.0";"0.0";"1"
"40595";"friesede";"11";"10";"1";"10";"1";"6";"5";"0";"null";"null";"0.9090909090909091";"0.09090909090909091";"0.9090909090909091";"0.09090909090909091";"0.5454545454545454";"0.45454545454545453";"0.0";"1"
"13203";"bahnpirat";"155";"71";"84";"73";"82";"34";"121";"4";"null";"null";"0.45806451612903226";"0.5419354838709678";"0.47096774193548385";"0.5290322580645161";"0.21935483870967742";"0.7806451612903226";"0.025806451612903226";"9"
"59547";"spielmops";"6";"0";"6";"5";"1";"2";"4";"0";"null";"null";"0.0";"1.0";"0.8333333333333334";"0.16666666666666666";"0.3333333333333333";"0.6666666666666666";"0.0";"1"
"175523";"mapistanbul";"29";"27";"2";"10";"19";"13";"16";"1";"null";"null";"0.9310344827586207";"0.06896551724137931";"0.3448275862068966";"0.6551724137931034";"0.4482758620689655";"0.5517241379310345";"0.034482758620689655";"5"
"39330";"chehrlic";"805";"510";"295";"159";"646";"420";"385";"174";"null";"null";"0.6335403726708074";"0.36645962732919257";"0.19751552795031055";"0.8024844720496894";"0.5217391304347826";"0.4782608695652174";"0.21614906832298136";"39"
"458656";"Achim_HB";"3";"2";"1";"0";"3";"1";"2";"0";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"0.3333333333333333";"0.6666666666666666";"0.0";"1"
"573089";"nimi09";"321";"0";"321";"320";"1";"317";"4";"0";"null";"null";"0.0";"1.0";"0.9968847352024922";"0.003115264797507788";"0.9875389408099688";"0.012461059190031152";"0.0";"2"
"130472";"fx99";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"115883";"Senior_Spielbergo";"85";"33";"52";"84";"1";"34";"51";"1";"null";"null";"0.38823529411764707";"0.611764705882353";"0.9882352941176471";"0.011764705882352941";"0.4";"0.6";"0.011764705882352941";"14"
"160936";"pyron1";"251";"171";"80";"217";"34";"188";"63";"38";"null";"null";"0.6812749003984063";"0.3187250996015936";"0.8645418326693227";"0.13545816733067728";"0.749003984063745";"0.250996015936255";"0.15139442231075698";"14"
"14002";"Gehrke";"8";"7";"1";"7";"1";"2";"6";"0";"null";"null";"0.875";"0.125";"0.875";"0.125";"0.25";"0.75";"0.0";"1"
"38066";"ArjanO";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"477363";"Pescador";"3";"0";"3";"0";"3";"2";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.6666666666666666";"0.3333333333333333";"0.0";"3"
"53175";"Luccass";"12";"0";"12";"11";"1";"7";"5";"0";"null";"null";"0.0";"1.0";"0.9166666666666666";"0.08333333333333333";"0.5833333333333334";"0.4166666666666667";"0.0";"2"
"192181";"hennie90";"111";"81";"30";"110";"1";"78";"33";"1";"null";"null";"0.7297297297297297";"0.2702702702702703";"0.990990990990991";"0.009009009009009009";"0.7027027027027027";"0.2972972972972973";"0.009009009009009009";"4"
"9402";"ludwich";"2";"1";"1";"0";"2";"2";"0";"0";"null";"null";"0.5";"0.5";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"42938";"Xanadu";"2";"0";"2";"1";"1";"0";"2";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.0";"1.0";"0.0";"1"
"42683";"riechfield";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"42429";"42429";"780";"429";"351";"245";"535";"475";"305";"26";"null";"null";"0.55";"0.45";"0.3141025641025641";"0.6858974358974359";"0.6089743589743589";"0.391025641025641";"0.03333333333333333";"34"
"68030";"Kowa";"68";"0";"68";"30";"38";"60";"8";"0";"null";"null";"0.0";"1.0";"0.4411764705882353";"0.5588235294117647";"0.8823529411764706";"0.11764705882352941";"0.0";"7"
"460235";"Namenwerdenüberbewertet";"52";"16";"36";"25";"27";"41";"11";"1";"null";"null";"0.3076923076923077";"0.6923076923076923";"0.4807692307692308";"0.5192307692307693";"0.7884615384615384";"0.21153846153846154";"0.019230769230769232";"10"
"32972";"pinguin666";"6";"5";"1";"5";"1";"6";"0";"0";"null";"null";"0.8333333333333334";"0.16666666666666666";"0.8333333333333334";"0.16666666666666666";"1.0";"0.0";"0.0";"1"
"127694";"eiermuetze";"72";"1";"71";"3";"69";"64";"8";"0";"null";"null";"0.013888888888888888";"0.9861111111111112";"0.041666666666666664";"0.9583333333333334";"0.8888888888888888";"0.1111111111111111";"0.0";"3"
"445142";"arco";"2328";"158";"2170";"2132";"196";"2010";"318";"63";"null";"null";"0.06786941580756013";"0.9321305841924399";"0.915807560137457";"0.08419243986254296";"0.8634020618556701";"0.13659793814432988";"0.027061855670103094";"42"
"722137";"OSMF Redaction Account";"5";"4";"1";"4";"1";"0";"5";"0";"null";"null";"0.8";"0.2";"0.8";"0.2";"0.0";"1.0";"0.0";"2"
"448212";"Thth";"6";"0";"6";"5";"1";"5";"1";"1";"null";"null";"0.0";"1.0";"0.8333333333333334";"0.16666666666666666";"0.8333333333333334";"0.16666666666666666";"0.16666666666666666";"1"
"39381";"DD1GJ";"27";"26";"1";"0";"27";"25";"2";"0";"null";"null";"0.9629629629629629";"0.037037037037037035";"0.0";"1.0";"0.9259259259259259";"0.07407407407407407";"0.0";"3"
"72151";"GeorgFausB";"5";"4";"1";"4";"1";"2";"3";"0";"null";"null";"0.8";"0.2";"0.8";"0.2";"0.4";"0.6";"0.0";"2"
"247003";"ukoldewe";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"963280";"hage47";"2";"0";"2";"1";"1";"0";"2";"0";"null";"null";"0.0";"1.0";"0.5";"0.5";"0.0";"1.0";"0.0";"1"
"41440";"Bernd Carsten Sander";"36";"2";"34";"16";"20";"1";"35";"0";"null";"null";"0.05555555555555555";"0.9444444444444444";"0.4444444444444444";"0.5555555555555556";"0.027777777777777776";"0.9722222222222222";"0.0";"5"
"230627";"Plumberjack";"2";"0";"2";"0";"2";"1";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.5";"0.5";"0.0";"2"
"429794";"SennaHB";"17";"2";"15";"16";"1";"2";"15";"1";"null";"null";"0.11764705882352941";"0.8823529411764706";"0.9411764705882353";"0.058823529411764705";"0.11764705882352941";"0.8823529411764706";"0.058823529411764705";"5"
"282092";"UliBorowka";"42";"34";"8";"7";"35";"36";"6";"3";"null";"null";"0.8095238095238095";"0.19047619047619047";"0.16666666666666666";"0.8333333333333334";"0.8571428571428571";"0.14285714285714285";"0.07142857142857142";"5"
"661218";"Der_Teddie";"5";"0";"5";"4";"1";"4";"1";"1";"null";"null";"0.0";"1.0";"0.8";"0.2";"0.8";"0.2";"0.2";"1"
"5359";"user_5359";"2";"1";"1";"1";"1";"0";"2";"0";"null";"null";"0.5";"0.5";"0.5";"0.5";"0.0";"1.0";"0.0";"2"
"129518";"amenityeditor";"8";"0";"8";"7";"1";"0";"8";"0";"null";"null";"0.0";"1.0";"0.875";"0.125";"0.0";"1.0";"0.0";"8"
"137197";"Rave78";"3";"2";"1";"0";"3";"3";"0";"0";"null";"null";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"1.0";"0.0";"0.0";"2"
"45044";"MrJones";"1";"0";"1";"0";"1";"0";"1";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"35574";"Schorse";"51";"11";"40";"49";"2";"1";"50";"2";"null";"null";"0.21568627450980393";"0.7843137254901961";"0.9607843137254902";"0.0392156862745098";"0.0196078431372549";"0.9803921568627451";"0.0392156862745098";"5"
"378355";"altaso";"1";"0";"1";"0";"1";"1";"0";"0";"null";"null";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"85242";"fpose";"5";"4";"1";"0";"5";"5";"0";"0";"null";"null";"0.8";"0.2";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"69628";"vsandre";"3";"0";"3";"2";"1";"0";"3";"0";"null";"null";"0.0";"1.0";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"0.0";"1"
"114430";"Chenshi";"92";"40";"52";"66";"26";"5";"87";"57";"null";"null";"0.43478260869565216";"0.5652173913043478";"0.717391304347826";"0.2826086956521739";"0.05434782608695652";"0.9456521739130435";"0.6195652173913043";"4"
"31231";"Andre68";"89";"18";"71";"77";"12";"16";"73";"10";"null";"null";"0.20224719101123595";"0.797752808988764";"0.8651685393258427";"0.1348314606741573";"0.1797752808988764";"0.8202247191011236";"0.11235955056179775";"9"
