"source";"target";"weight"
"759439";"147322";"7.0"
"115994";"759439";"32.0"
"61116";"30086";"4.0"
"61116";"127805";"2.0"
"13314";"45556";"36.0"
"715482";"242662";"1.0"
"519058";"45556";"8.0"
"127805";"61116";"1.0"
"127805";"45556";"6.0"
"124057";"45556";"1.0"
"783877";"45556";"2.0"
"81542";"177902";"4.0"
"164325";"61116";"1.0"
"680232";"445253";"5.0"
"39441";"149976";"6.0"
"42540";"580580";"1.0"
"42540";"4584";"6.0"
"42540";"715482";"38.0"
"42540";"131026";"9.0"
"45556";"131026";"9.0"
"42540";"53670";"2.0"
"42540";"201470";"1.0"
"201470";"53670";"4.0"
"201470";"42540";"4.0"
"39441";"161730";"4.0"
"30086";"161730";"21.0"
"30086";"39441";"43.0"
"161730";"30086";"86.0"
"161730";"39441";"14.0"
"161730";"715482";"1.0"
"715482";"161730";"5.0"
"42540";"282203";"2.0"
"45556";"4584";"2.0"
"242662";"45556";"3.0"
"45556";"242662";"6.0"
"42540";"61116";"1.0"
"61116";"33083";"1.0"
"30086";"33083";"1.0"
"45556";"33083";"1.0"
"4584";"39441";"25.0"
"4584";"57756";"1.0"
"61116";"53670";"1.0"
"378466";"39441";"1.0"
"45556";"81542";"1.0"
"149414";"30086";"39.0"
"149414";"445253";"28.0"
"460346";"30086";"14.0"
"460346";"149414";"22.0"
"460346";"445253";"11.0"
"30086";"149414";"132.0"
"30086";"445253";"73.0"
"445253";"30086";"39.0"
"445253";"149414";"46.0"
"149414";"45556";"3.0"
"477173";"30086";"1.0"
"45556";"477173";"1.0"
"39441";"445253";"33.0"
"39441";"72262";"1.0"
"127805";"30086";"8.0"
"711096";"45556";"13.0"
"127805";"715482";"3.0"
"566729";"30086";"5.0"
"566729";"127805";"30.0"
"53670";"4584";"2.0"
"715482";"27305";"6.0"
"715482";"53670";"6.0"
"45556";"580580";"3.0"
"275874";"45556";"6.0"
"57756";"39441";"2.0"
"715482";"149414";"5.0"
"63218";"30086";"20.0"
"13823";"45556";"10.0"
"81542";"27305";"14.0"
"27305";"39441";"1.0"
"45556";"460346";"1.0"
"166240";"149976";"2.0"
"2791";"149976";"2.0"
"53286";"45556";"12.0"
"49635";"68141";"1.0"
"49635";"45556";"1.0"
"61116";"49635";"1.0"
"45556";"49635";"1.0"
"477173";"715482";"1.0"
"477173";"445253";"1.0"
"161047";"445253";"1.0"
"601334";"131026";"1.0"
"131026";"151951";"1.0"
"151951";"131026";"24.0"
"149976";"39441";"3.0"
"39492";"45556";"7.0"
