"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"2674530";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7291666666666667";"0.3333333333333333";"0.08"
"5037823";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3911497";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"1613673";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4972316";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"810842";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4558609";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4275991";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"2629426";"1.0";"1.0";"0.0";"5.0";"6.0";"0.0";"0.0";"0.7317554240631164";"0.10666666666666667";"0.1169811320754717"
"2498361";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"3333964";"1.0";"1.0";"0.0";"4.0";"2.0";"0.0";"0.0";"0.765625";"0.14285714285714285";"0.11428571428571428"
"4464420";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4964136";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4390688";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2326342";"3.0";"3.0";"0.0";"3.0";"3.0";"0.0";"0.0";"0.875";"0.3611111111111111";"0.3037037037037037"
"4980525";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"204650";"1.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.84";"0.6666666666666666";"0.2"
"2326344";"3.0";"3.0";"0.0";"8.0";"4.0";"1.0";"0.0";"0.8467220683287167";"0.2791666666666667";"0.20916030534351146"
"2326343";"2.0";"3.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.8641975308641975";"0.4722222222222222";"0.28"
"4841252";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.5833333333333334";"null";"0.0"
"3428152";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"2326348";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"null";"null"
"4792102";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2883481";"1.0";"1.0";"0.0";"3.0";"1.0";"1.0";"0.0";"0.8571428571428572";"0.16666666666666666";"0.06666666666666667"
"2858905";"0.0";"0.0";"0.0";"9.0";"0.0";"0.0";"0.0";"0.0";"0.2037037037037037";"null"
"3268514";"2.0";"2.0";"0.0";"2.0";"2.0";"0.0";"0.0";"0.875";"0.0";"0.0"
"1240960";"123.0";"126.0";"5.0";"172.0";"91.0";"70.0";"0.0";"0.9168062129791131";"0.03156758824172222";"0.030314579686380523"
"2875294";"2.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.7466666666666666";"0.5";"0.2"
"1855368";"4.0";"4.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.8284023668639054";"0.5462962962962963";"0.38666666666666666"
