"source";"target";"weight";"type"
"172172";"1965179";"1.0";"undirected"
"172172";"2866337";"3.0";"undirected"
"172172";"474294";"1.0";"undirected"
"172172";"2899176";"3.0";"undirected"
"172172";"1486007";"1.0";"undirected"
"172172";"2878648";"4.0";"undirected"
"172172";"60630";"1.0";"undirected"
"172172";"2862363";"1.0";"undirected"
"172172";"2866449";"3.0";"undirected"
"172172";"212222";"3.0";"undirected"
"172172";"2866463";"4.0";"undirected"
"172172";"2866415";"4.0";"undirected"
"172172";"1068331";"4.0";"undirected"
"172172";"2866491";"3.0";"undirected"
"172172";"2870682";"3.0";"undirected"
"172172";"2047367";"1.0";"undirected"
"172172";"478595";"4.0";"undirected"
"172172";"56708";"1.0";"undirected"
"172172";"1949071";"2.0";"undirected"
"172172";"85425";"3.0";"undirected"
"172172";"1998271";"4.0";"undirected"
"172172";"2870754";"4.0";"undirected"
"172172";"2870712";"4.0";"undirected"
"172172";"2219449";"2.0";"undirected"
"172172";"2874900";"3.0";"undirected"
"172172";"237056";"3.0";"undirected"
"172172";"2883112";"4.0";"undirected"
"172172";"2899450";"3.0";"undirected"
"172172";"2883160";"3.0";"undirected"
"172172";"2797113";"3.0";"undirected"
"172172";"2399858";"4.0";"undirected"
"172172";"3415798";"2.0";"undirected"
"172172";"2883481";"4.0";"undirected"
"172172";"1240960";"2.0";"undirected"
"172172";"2875294";"2.0";"undirected"
"172172";"1855368";"4.0";"undirected"
"172172";"2748306";"1.0";"undirected"
"172172";"2875279";"1.0";"undirected"
"172172";"2875258";"3.0";"undirected"
"172172";"2883546";"3.0";"undirected"
"172172";"2875357";"4.0";"undirected"
"172172";"2883516";"3.0";"undirected"
"172172";"4370507";"1.0";"undirected"
"172172";"2883569";"4.0";"undirected"
"172172";"2883594";"3.0";"undirected"
"172172";"2875406";"4.0";"undirected"
"172172";"2883676";"4.0";"undirected"
"172172";"2285664";"4.0";"undirected"
"172172";"2867310";"5.0";"undirected"
"172172";"348237";"1.0";"undirected"
"172172";"102473";"1.0";"undirected"
"172172";"2875449";"2.0";"undirected"
"172172";"2859058";"3.0";"undirected"
"172172";"2883657";"4.0";"undirected"
"172172";"491626";"1.0";"undirected"
"2883746";"1238306";"4.0";"undirected"
"667801";"1700207";"3.0";"undirected"
"667801";"217578";"1.0";"undirected"
"667801";"25107";"1.0";"undirected"
"667801";"3388114";"1.0";"undirected"
"667801";"1254330";"2.0";"undirected"
"667801";"2872240";"4.0";"undirected"
