"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"8339";"mtmail";"1";"1";"0";"1";"0";"0";"1";"0";"0";"3141";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"1544322";"Paul Mallet";"124";"34";"90";"66";"58";"36";"88";"0";"0";"642";"0.27419354838709675";"0.7258064516129032";"0.532258064516129";"0.46774193548387094";"0.2903225806451613";"0.7096774193548387";"0.0";"19"
"183450";"cypriend";"2";"1";"1";"2";"0";"1";"1";"0";"0";"650";"0.5";"0.5";"1.0";"0.0";"0.5";"0.5";"0.0";"2"
"46239";"MatthieuMartin";"41";"1";"40";"37";"4";"0";"41";"0";"0";"2857";"0.024390243902439025";"0.975609756097561";"0.9024390243902439";"0.0975609756097561";"0.0";"1.0";"0.0";"7"
"475302";"SProvost";"1";"1";"0";"1";"0";"0";"1";"0";"0";"16";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"2333826";"Mohamed KHELIFI";"1";"1";"0";"1";"0";"0";"1";"0";"0";"414";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"25762";"frodrigo";"107";"107";"0";"78";"29";"29";"49";"29";"0";"4740";"1.0";"0.0";"0.7289719626168224";"0.27102803738317754";"0.27102803738317754";"0.45794392523364486";"0.27102803738317754";"3"
"184480";"gaspard";"7";"7";"0";"2";"5";"1";"6";"0";"0";"614";"1.0";"0.0";"0.2857142857142857";"0.7142857142857143";"0.14285714285714285";"0.8571428571428571";"0.0";"2"
"530603";"la colle";"3";"2";"1";"0";"3";"0";"3";"0";"0";"4576";"0.6666666666666666";"0.3333333333333333";"0.0";"1.0";"0.0";"1.0";"0.0";"2"
"268455";"nfrery";"1";"0";"1";"1";"0";"0";"1";"0";"0";"4820";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"150692";"gcamp";"10";"8";"2";"10";"0";"6";"4";"0";"0";"286";"0.8";"0.2";"1.0";"0.0";"0.6";"0.4";"0.0";"2"
"227498";"Seudo";"12";"12";"0";"0";"12";"0";"8";"4";"0";"59";"1.0";"0.0";"0.0";"1.0";"0.0";"0.6666666666666666";"0.3333333333333333";"5"
